Node,Longitude,Latitude
200,104.1720131,30.64867986
201,103.961143,30.57989724
202,104.0612128,30.60054761
203,104.0696326,30.56814664
204,104.1502536,30.57428621
205,103.9925196,30.73704047
206,104.0490336,30.74739145
207,103.9805092,30.70204313
208,104.0675126,30.68327023
209,104.1353846,30.6850185
210,104.158776,30.69530501
211,103.9848234,30.66853964
212,104.0389082,30.63011246
213,104.1275404,30.67140374
214,104.1463315,30.64059106
215,103.9856557,30.59995126
216,104.0201993,30.58034411
217,104.0692372,30.62263344
218,104.1430664,30.59666843
219,104.0481228,30.7539247
220,103.9875546,30.68324826
221,104.0017918,30.72113711
222,104.1002021,30.68127471
223,104.1636044,30.70562279
224,103.996384,30.63202614
225,104.0663159,30.66946366
226,104.0781096,30.66468753
227,104.1369234,30.63298756
228,103.972055,30.62091828
229,104.0553258,30.60561598
230,104.0996958,30.6202998
231,104.1409451,30.59204616
232,104.0204361,30.7335789
233,103.9658337,30.698067
234,104.0428838,30.70972262
235,104.074087,30.71695029
236,104.159153,30.69079437
237,103.9893797,30.64731331
238,104.0451214,30.66880677
239,104.0704498,30.65744999
240,104.1407013,30.65199095
241,103.9781162,30.59455801
242,104.0577985,30.59397529
243,104.1259875,30.61233806
244,104.1414436,30.6184338
245,104.0191754,30.73334897
246,103.9636875,30.70216665
247,104.0406601,30.68164203
248,104.1075671,30.71792339
249,104.200667,30.70612702
250,103.9911505,30.64022479
251,103.9994246,30.6637374
252,104.1050091,30.62341935
253,104.1462001,30.63025162
254,103.966243,30.57342223
255,104.0354192,30.61450689
256,104.0802516,30.61899568
257,104.1559375,30.60084119
258,104.0067642,30.74617568
259,103.9706768,30.68583598
260,104.0638617,30.69710359
261,104.1002591,30.68461396
262,104.166912,30.7139627
263,103.9766069,30.67623085
264,104.0415966,30.63108704
265,104.0842535,30.65673383
266,104.1447199,30.62736142
267,103.9910119,30.59474494
268,104.0437776,30.57776198
269,104.0957775,30.60819498
270,104.1367943,30.62236537
271,104.0557475,30.73512754
272,103.9914211,30.68156318
273,104.0293725,30.72050051
274,104.099622,30.68819597
275,104.1703327,30.68548169
276,103.995139,30.66594927
277,104.0634634,30.65705933
278,104.0835203,30.64087688
279,104.1656774,30.66435346
280,103.9604905,30.60401625
281,104.0317101,30.58346893
282,104.0716706,30.60211143
283,104.1369858,30.61186495
284,104.0154355,30.77055541
285,103.9941339,30.70578931
286,104.0671143,30.68639269
287,104.0695938,30.68181648
288,104.184379,30.69224823
289,103.9971883,30.67721485
290,104.001918,30.67545709
291,104.0697966,30.66615043
292,104.1369623,30.6514217
293,103.9590078,30.58061609
294,104.051808,30.61828359
295,104.1007347,30.59778697
296,104.1441733,30.60359371
297,104.0235378,30.73518745
298,103.9944727,30.71680117
299,104.0073133,30.70972582
300,104.0753424,30.68266948
301,104.1772935,30.69163092
302,103.9672858,30.67160707
303,104.0029427,30.64826448
304,104.0821882,30.67110531
305,104.2033612,30.67494723
306,103.9828708,30.62025518
307,104.0579254,30.61419904
308,104.0685001,30.602309
309,104.1526212,30.6089618
310,104.0600238,30.74269338
311,103.9619769,30.70213373
312,104.0388274,30.70856721
313,104.1056755,30.69638434
314,104.1454657,30.71104408
315,103.9881014,30.63882185
316,104.0623267,30.67481854
317,104.087302,30.62863419
318,104.1377093,30.62399046
319,103.9872194,30.61048908
320,104.0527944,30.61321397
321,104.1322269,30.61329977
322,104.1589946,30.60397265
323,104.0479925,30.76138863
324,103.9832126,30.69147087
325,104.0473091,30.70833999
326,104.0729201,30.69786137
327,104.1612313,30.70292569
328,103.9742914,30.6685123
329,104.0009914,30.66823038
330,104.0677955,30.65381329
331,104.1831593,30.65487167
332,103.9855772,30.62085604
333,104.0364277,30.60445821
334,104.110436,30.61840969
335,104.1463549,30.60674406
336,104.0257262,30.75797789
337,103.9906099,30.68806191
338,104.0469719,30.72484761
339,104.0782592,30.72025506
340,104.1638951,30.70182076
341,103.9957969,30.67074439
342,104.0353868,30.62436116
343,104.0859453,30.66383958
344,104.1641678,30.65959378
345,103.9854006,30.60176279
346,104.057738,30.5910549
347,104.1094514,30.61987173
348,104.1386726,30.62175858
349,104.0101252,30.73331802
350,103.9942328,30.67855575
351,104.0402926,30.68684125
352,104.0757464,30.71118555
353,103.9299735,30.69461569
354,103.9894097,30.66622431
355,104.0560473,30.64264166
356,104.0901728,30.66338933
357,104.1571519,30.65730466
358,103.99377,30.60329675
359,104.0463432,30.61345444
360,104.1072423,30.59430952
361,104.1396892,30.59845534
362,103.9897196,30.67889818
363,104.0198136,30.68603439
364,104.0811893,30.67984653
365,104.1696646,30.69594523
366,103.9977251,30.63671174
367,104.0158985,30.65212806
368,104.0892991,30.66187992
369,104.1515025,30.62822194
370,103.9718535,30.60676545
371,104.0266743,30.57742312
372,104.0957303,30.60007481
373,104.1638932,30.57872323
374,103.9627835,30.70116449
375,104.0213322,30.69724433
376,104.0903802,30.68823322
377,104.1372523,30.69613294
378,103.977821,30.66658483
379,104.0331866,30.6533746
380,104.0696483,30.64887984
381,104.1509475,30.63246953
382,103.9816494,30.60279961
383,104.0501779,30.62083968
384,104.117088,30.61514917
385,103.9917914,30.7107053
